name,molweight,boiling point (K),type
"1,1,2-trifluoropropane",98.0679096,264.97,hydrocarbon
"1,1,2-triiodo-2-methylpropane",435.81299,566.67,hydrocarbon
"1,1,2-triiodobutane",435.81299,569.46,hydrocarbon
"1,1,2-triiodoethane",407.75923,524.14,hydrocarbon
"1,1,2-triiodopropane",421.78611,546.58,hydrocarbon
"1,1,2-trimethylcyclohexane",126.24192,418.35,hydrocarbon
"1,1,2-trimethylcyclopentane",112.21504,386.88,hydrocarbon
"1,1,2-trimethylcyclopropane",84.16128,325.59,hydrocarbon
"1,1,3,3-tetrabromopropane",359.68076,548.15,hydrocarbon
"1,1,3,3-tetrachloropropane",181.87556,440,hydrocarbon
"1,1,3,3-tetrafluoropropane",116.0583728,300,hydrocarbon
"1,1,3,3-tetraiodopropane",547.68264,639.72,hydrocarbon
"1,1,3,3-tetramethylcyclopentane",126.24192,391.11,hydrocarbon
"1,1,3,4-tetramethylcyclohexane",140.2688,433.15,hydrocarbon
"1,1,3-tribromo-2-methylpropane",294.81158,488.52,hydrocarbon
"1,1,3-tribromobutane",294.81158,488.52,hydrocarbon
"1,1,3-tribromopropane",280.7847,478.15,hydrocarbon
"1,1,3-trichloro-2-methylpropane",161.45768,415,hydrocarbon
"1,1,3-trichlorobutane",161.45768,426.15,hydrocarbon
"1,1,3-trichloropropane",147.4308,418.7,hydrocarbon
"1,1,3-trifluoro-2-methylpropane",112.0947896,287.85,hydrocarbon
"1,1,3-trifluorobutane",112.0947896,287.85,hydrocarbon
"1,1,3-trifluoropropane",98.0679096,265.41,hydrocarbon
"1,1,3-triiodo-2-methylpropane",435.81299,569.46,hydrocarbon
"1,1,3-triiodobutane",435.81299,569.46,hydrocarbon
"1,1,3-triiodopropane",421.78611,547.02,hydrocarbon
"1,1,3-trimethylcyclohexane",126.24192,409.78,hydrocarbon
"1,1,3-trimethylcyclopentane",112.21504,378.04,hydrocarbon
"1,1,4-tribromobutane",294.81158,488.96,hydrocarbon
